City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,chernyshevskiy,63.0128,112.4714,-19.06,86,39,1.61,RU,1712883902
83,kaiapoi,-43.3783,172.6401,13.04,85,75,8.75,NZ,1712883903
84,lakatoro,-16.0999,167.4164,29.94,70,20,2.81,VU,1712883903
85,nikolayevsk-on-amure,53.1406,140.73,7.34,64,9,1.34,RU,1712883904
86,hobyo,5.3505,48.5268,28.46,77,37,3.52,SO,1712883642
87,necochea,-38.5473,-58.7368,10.21,70,100,2.94,AR,1712883672
88,san-pedro,4.7485,-6.6363,25.6,88,100,2.18,CI,1712883905
89,tura,25.5198,90.2201,26.85,37,0,1.1,IN,1712883905
90,tolanaro,-25.0319,46.9987,23.04,83,40,3.09,MG,1712883801
91,ilulissat,69.2167,-51.1,-6.99,93,100,0.0,GL,1712883906
92,silifke,36.3778,33.9344,17.13,78,7,2.12,TR,1712883906
93,touros,-5.1989,-35.4608,26.43,87,99,3.02,BR,1712883906
94,arteche,12.2645,125.4048,28.43,75,27,3.5,PH,1712883907
95,brisas de zicatela,15.8369,-97.0419,27.29,94,0,3.09,MX,1712883907
96,vorkuta,67.5,64.0,-9.38,87,100,12.07,RU,1712883907
97,ust-nera,64.5667,143.2,-4.15,86,63,2.69,RU,1712883908
98,papatowai,-46.5619,169.4708,8.74,71,100,2.13,NZ,1712883839
99,hithadhoo,-0.6,73.0833,28.61,73,87,1.86,MV,1712883908
100,ta`u,-14.2336,-169.5144,28.73,79,14,4.48,AS,1712883909
101,codrington,-38.2667,141.9667,16.13,53,99,3.46,AU,1712883909
102,carutapera,-1.195,-46.02,25.27,96,100,1.96,BR,1712883826
103,thompson,55.7435,-97.8558,1.09,75,100,3.09,CA,1712883796
104,agat village,13.3886,144.6585,31.52,75,40,6.17,GU,1712883910
105,alofi,-19.0595,-169.9187,28.94,79,75,3.09,NU,1712883910
106,el granada,37.5027,-122.4694,26.07,71,0,10.29,US,1712883910
107,saint-joseph,-21.3667,55.6167,25.21,85,61,0.35,RE,1712883911
108,dostpur,26.2833,82.4667,26.4,40,7,2.5,IN,1712883911
109,alice springs,-23.7,133.8833,21.23,31,5,4.63,AU,1712883911
110,crane,31.3974,-102.3501,23.89,17,0,5.39,US,1712883912
111,cole harbour,44.6724,-63.4751,3.99,83,100,2.68,CA,1712883689
112,gizo,-8.103,156.8419,28.87,76,96,2.68,SB,1712883912
113,korsakov,46.6328,142.7813,7.13,87,89,5.79,RU,1712883913
